Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,
Fahrzeug/Modell (Generation**),,,Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,
Audi,,,,,,,,,,,,,,
A3 Cabriolet 1.8 TFSI Attraction (8V),,,2,132  (180),IV,34850,,,19950,17650,16250,14800,,
A3 Cabriolet 1.8 TFSI Attraction quattro S tronic (8V),,,2,132  (180),IV,38700,,,21850,19350,17850,,,
A3 Cabriolet 2.0 TFSI sport quattro S tronic  (8V),,,2,140  (190),IV,42650,30350,27100,24200,,,,,
A3 Cabriolet 1.6 TDI Attraction (8V),,,2,81  (110),V,33400,,,16850,15200,13850,,,
A3 Cabriolet 2.0 TDI Attraction (8V),,,2,110  (150),V,35750,,,17850,15950,14500,13000,,
A3 Cabriolet 2.0 TDI Attraction quattro (8V),,,2,110  (150),V,37700,,,18600,16600,15100,,,
A3 Cabriolet 2.0 TDI  (8V),,,2,110  (150),V,37250,23000,20550,18750,,,,,
A3 Cabriolet 2.0 TDI quattro (8V),,,2,110  (150),V,38550,24000,21400,19500,,,,,
A3 Cabriolet 2.0 TDI Attraction (8V),,,2,135  (184),V,37500,,,19050,17150,15650,,,
A3 Cabriolet 2.0 TDI Attraction quattro S tronic (8V),,,2,135  (184),V,41350,,,20750,18700,17050,,,
A3 Cabriolet 2.0 TDI sport quattro S tronic (8V),,,2,135  (184),V,45000,27550,24600,21950,,,,,
RS3 Sportback S tronic (8V),,,5,270  (367),IV,53500,,,37050,33650,,,,
RS3 Sportback S tronic (8V),,,5,294  (400),IV,55900,44850,40050,,,,,,
RS3 Limousine S tronic (8V),,,4,294  (400),IV,57200,45350,40500,,,,,,
S3  (8V),,,3,221  (300),IV,40050,,,24900,23400,21900,20250,18850,
S3  (8V),,,3,228  (310),IV,41450,,27600,24650,,,,,
S3 Sportback  (8V),,,5,221  (300),IV,40950,,,26250,24700,23050,21500,,
S3 Sportback S tronic (8V),,,5,221  (300),IV,45500,34050,,,,,,,
S3 Sportback  (8V),,,5,228  (310),IV,43050,32550,29050,25950,,,,,
S3 Limousine  (8V),,,4,221  (300),IV,41550,,,26150,24550,22950,21300,,
S3 Limousine S tronic (8V),,,4,221  (300),IV,46400,34100,,,,,,,
S3 Limousine  (8V),,,4,228  (310),IV,43950,32600,29100,26000,,,,,
S3 Cabriolet S tronic (8V),,,2,221  (300),IV,49350,,,28950,25700,24000,,,
S3 Cabriolet S tronic (8V),,,2,221  (300),IV,52300,36600,,,,,,,
S3 Cabriolet S tronic (8V),,,2,228  (310),IV,51850,36600,32650,29150,,,,,
A4 1.8 TFSI Attraction (B8),,,4,88  (120),V,28850,,,,14250,13000,11450,9900,
A4 1.8 TFSI Attraction (B8),,,4,125  (170),V,31150,,,,,,12300,11050,
A4 1.8 TFSI Attraction quattro (B8),,,4,125  (170),V,33500,,,,,,13200,11450,
A4 2.0 TFSI flexible fuel Attraction,(B8),,4,132  (180),V,34200,,,,15950,14250,12550,10850,
A4 2.0 TFSI flexible fuel Attraction quattro,,(B8),4,132  (180),V,36550,,,,17050,15250,13450,11650,
A4 2.0 TFSI Attraction (B8),,,4,155  (211),V,35450,,,,,,12650,10950,
A4 2.0 TFSI Attraction quattro (B8),,,4,155  (211),V,37800,,,,,,13500,11700,
A4 2.0 TFSI Attraction (B8),,,4,165  (225),V,37700,,,,16350,14600,12900,,
A4 2.0 TFSI Attraction quattro (B8),,,4,165  (225),V,40050,,,,17400,15550,13700,,
A4 3.0 TFSI Attraction quattro S tronic (B8),,,4,200  (272),V,44950,,,,,18500,16300,15300,
A4 2.0 TDI Attraction (B8),,,4,88  (120),VI,31250,,,,13600,12000,10500,9625,
A4 2.0 TDI 112g Attraction (B8),,,4,100  (136),VI,32600,,,,,12100,10550,9125,
A4 2.0 TDI ultra Attraction (B8),,,4,100  (136),VI,34450,,,,14950,13200,,,
A4 2.0 TDI Attraction (B8),,,4,105  (143),VI,32250,,,,,,11300,9775,
A4 2.0 TDI Attraction quattro (B8),,,4,105  (143),VI,34600,,,,,,12100,10500,
A4 2.0 TDI Attraction (B8),,,4,110  (150),VI,33350,,,,13800,12150,10650,,
A4 2.0 TDI Attraction quattro (B8),,,4,110  (150),VI,35700,,,,14800,13050,11400,,
A4 2.0 TDI 115g Attraction (B8),,,4,120  (163),VI,34700,,,,,,11550,10000,
A4 2.0 TDI ultra Attraction (B8),,,4,120  (163),VI,35850,,,,14600,12850,,,
A4 2.0 TDI Attraction (B8),,,4,130  (177),VI,35450,,,,14650,12900,11300,9800,
A4 2.0 TDI Attraction quattro (B8),,,4,130  (177),VI,37800,,,,15650,13850,12050,10500,
A4 2.0 TDI Attraction (B8),,,4,140  (190),VI,36950,,,,14900,13150,,,
A4 2.0 TDI Attraction quattro (B8),,,4,140  (190),VI,39300,,,,15250,13500,,,
A4 3.0 TDI Attraction (B8),,,4,150  (204),VI,38250,,,,15600,14600,12750,11050,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 8 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A4 3.0 TDI Attraction quattro (B8),4,180  (245),VI,44250,,,,17900,15800,13800,11950,,,
A4 Avant 1.8 TFSI Attraction (B8),5,88  (120),V,30600,,,,14850,13250,11650,10100,,,
A4 Avant 1.8 TFSI Attraction (B8),5,125  (170),V,32800,,,,,,13200,11450,,,
A4 Avant 1.8 TFSI Attraction quattro (B8),5,125  (170),V,35150,,,,,,14150,12250,,,
A4 Avant 2.0 TFSI flexible fuel Attraction  (B8),5,132  (180),V,35950,,,,17450,15600,13700,11900,,,
A4 Avant 2.0 TFSI flexible fuel Attraction quattro  (B8),5,132  (180),V,38300,,,,18600,16600,14600,12700,,,
A4 allroad 2.0 TFSI quattro (B8),5,155  (211),V,41200,,,,,,17650,15300,,,
A4 Avant 2.0 TFSI Attraction (B8),5,155  (211),V,37100,,,,,,13700,11850,,,
A4 Avant 2.0 TFSI Attraction quattro (B8),5,155  (211),V,39450,,,,,,14550,12600,,,
A4 allroad 2.0 TFSI quattro (B8),5,165  (225),V,42650,,,23550,21000,18750,17600,,,,
A4 Avant 2.0 TFSI Attraction (B8),5,165  (225),V,39450,,,,18950,16900,14350,,,,
A4 Avant 2.0 TFSI Attraction quattro (B8),5,165  (225),V,41800,,,,19300,17250,15200,,,,
A4 Avant 3.0 TFSI Attraction quattro S tronic (B8),5,200  (272),V,46600,,,,,21050,19700,16100,,,
A4 Avant 2.0 TDI Attraction (B8),5,88  (120),VI,33000,,,,12950,11700,10200,9375,,,
A4 Avant 2.0 TDI 116g Attraction (B8),5,100  (136),VI,34250,,,,,12600,11000,9525,,,
A4 Avant 2.0 TDI ultra Attraction (B8),5,100  (136),VI,36200,,,,13950,12350,,,,,
A4 allroad 2.0 TDI quattro (B8),5,105  (143),VI,38000,,,,,,14450,12550,,,
A4 Avant 2.0 TDI Attraction (B8),5,105  (143),VI,33900,,,,,,10800,9375,,,
A4 Avant 2.0 TDI Attraction quattro (B8),5,105  (143),VI,36250,,,,,,11600,10050,,,
A4 allroad 2.0 TDI quattro (B8),5,110  (150),VI,39200,,,,18250,16150,14450,,,,
A4 Avant 2.0 TDI Attraction (B8),5,110  (150),VI,35100,,,,13900,12250,10700,,,,
A4 Avant 2.0 TDI Attraction quattro (B8),5,110  (150),VI,37450,,,,14850,13100,11450,,,,
A4 Avant 2.0 TDI 120g Attraction (B8),5,120  (163),VI,36350,,,,,,11700,10150,,,
A4 Avant 2.0 TDI ultra Attraction (B8),5,120  (163),VI,37600,,,,15350,13550,,,,,
A4 allroad 2.0 TDI quattro (B8),5,130  (177),VI,41300,,,,18250,16450,15050,13050,,,
A4 Avant 2.0 TDI Attraction (B8),5,130  (177),VI,37200,,,,14050,12900,11250,9750,,,
A4 Avant 2.0 TDI Attraction quattro (B8),5,130  (177),VI,39550,,,,14950,13750,12000,10400,,,
A4 allroad 2.0 TDI quattro (B8),5,140  (190),VI,41900,,,19900,17750,16150,,,,,
A4 Avant 2.0 TDI Attraction (B8),5,140  (190),VI,38700,,,,14900,13150,,,,,
A4 Avant 2.0 TDI Attraction quattro (B8),5,140  (190),VI,41050,,,,15850,14000,,,,,
A4 Avant 3.0 TDI Attraction (B8),5,150  (204),VI,40000,,,,15600,14600,12750,11050,,,
A4 allroad 3.0 TDI quattro S tronic (B8),5,180  (245),VI,49950,,,,22450,19650,17550,15850,,,
A4 Avant 3.0 TDI Attraction quattro (B8),5,180  (245),VI,46000,,,,19100,16900,14750,12800,,,
A4 1.4 TFSI  (B9),4,110  (150),V,32400,21700,19550,17100,15450,,,,,,
A4 35 TFSI  (B9),4,110  (150),V,32700,21500,,,,,,,,,
A4 2.0 TFSI ultra  (B9),4,140  (190),VI,42150,24450,20050,18050,16150,,,,,,
A4 40 TFSI  (B9),4,140  (190),V,36800,24550,,,,,,,,,
A4 2.0 TFSI quattro (B9),4,185  (252),V,43850,28750,25650,24350,21750,,,,,,
A4 2.0 TDI  (B9),4,90  (122),VI,37700,21650,17700,16500,,,,,,,
A4 2.0 TDI  (B9),4,110  (150),VI,39100,21250,17900,16500,15000,,,,,,
A4 2.0 TDI quattro (B9),4,110  (150),VI,39150,24100,21550,19200,,,,,,,
A4 2.0 TDI ultra  (B9),4,110  (150),VI,37000,20250,18050,16650,15150,,,,,,
A4 35 TDI S tronic (B9),4,110  (150),VI,39100,23000,,,,,,,,,
A4 2.0 TDI quattro (B9),4,140  (190),VI,44500,25950,21900,19000,18300,,,,,,
A4 2.0 TDI ultra  (B9),4,140  (190),V,39100,24600,21350,19150,18450,,,,,,
A4 40 TDI quattro S tronic (B9),4,140  (190),VI,44500,28250,,,,,,,,,
A4 40 TDI S tronic (B9),4,140  (190),VI,42150,27250,,,,,,,,,
A4 3.0 TDI quattro S tronic (B9),4,160  (218),VI,47200,28950,24850,22150,,,,,,,
A4 3.0 TDI S tronic (B9),4,160  (218),VI,44850,28600,25500,22800,20350,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 9 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A4 3.0 TDI quattro tiptronic (B9),4,200  (272),VI,51850,33400,28400,24850,22650,,,,,,
A4 30 TDI S tronic (B9),5,90  (122),VI,37700,22800,,,,,,,,,
A4 Avant 1.4 TFSI  (B9),5,110  (150),V,34250,21500,19400,18250,,,,,,,
A4 Avant 35 TFSI  (B9),5,110  (150),V,34550,24000,,,,,,,,,
A4 Avant 2.0 TFSI ultra  (B9),5,140  (190),VI,41900,22900,19850,18450,,,,,,,
A4 Avant 40 TFSI  (B9),5,140  (190),V,38650,26950,,,,,,,,,
A4 Allroad 2.0 TFSI quattro S tronic (B9),5,185  (252),V,50100,33950,29700,27650,,,,,,,
A4 Avant 2.0 TFSI quattro (B9),5,185  (252),V,45750,29850,26100,24800,24750,,,,,,
A4 Avant 2.0 TFSI S tronic (B9),5,185  (252),V,45700,29350,26250,25550,,,,,,,
A4 Avant 2.0 TDI  (B9),5,90  (122),VI,39550,23600,19300,18150,,,,,,,
A4 Avant 30 TDI S tronic (B9),5,90  (122),VI,39550,24500,,,,,,,,,
A4 Allroad 2.0 TDI quattro (B9),5,110  (150),VI,43050,26900,24050,21900,,,,,,,
A4 Avant 2.0 TDI  (B9),5,110  (150),VI,40950,22400,18950,17400,16050,,,,,,
A4 Avant 2.0 TDI quattro (B9),5,110  (150),VI,41000,25400,22700,20250,,,,,,,
A4 Avant 2.0 TDI ultra  (B9),5,110  (150),VI,38850,21350,19100,17550,16150,,,,,,
A4 Avant 35 TDI S tronic (B9),5,110  (150),VI,40950,26050,,,,,,,,,
A4 Allroad 2.0 TDI quattro S tronic (B9),5,120  (163),VI,46100,30100,26050,24000,,,,,,,
A4 Allroad 2.0 TDI quattro (B9),5,140  (190),VI,48400,30900,25550,23750,,,,,,,
A4 Avant 2.0 TDI quattro (B9),5,140  (190),VI,46350,26250,21700,19350,19000,,,,,,
A4 Avant 40 TDI quattro S tronic (B9),5,140  (190),VI,46350,30200,,,,,,,,,
A4 Avant 40 TDI S tronic (B9),5,140  (190),VI,44000,30200,,,,,,,,,
A4 Allroad 3.0 TDI quattro S tronic (B9),5,160  (218),VI,51100,32200,28750,26750,,,,,,,
A4 Avant 3.0 TDI quattro S tronic (B9),5,160  (218),VI,49050,31050,26650,23800,,,,,,,
A4 Avant 3.0 TDI S tronic (B9),5,160  (218),VI,46700,29550,26350,23550,21000,,,,,,
A4 Allroad 3.0 TDI quattro tiptronic (B9),5,200  (272),VI,55750,34800,30150,28850,,,,,,,
A4 Avant 3.0 TDI quattro tiptronic (B9),5,200  (272),VI,53700,33450,28400,26700,25050,,,,,,
A4 Avant g-tron  (B9),5,125  (170),V,40300,27250,24550,,,,,,,,
RS4 Avant S tronic (B8),5,331  (450),V,77900,,,,41450,37000,33400,30750,,,
RS4 Avant tiptronic (B9),5,331  (450),V,80700,62650,55950,,,,,,,,
S4 S tronic (B8),4,245  (333),V,55550,,,,,26350,23750,20600,,,
S4 Avant S tronic (B8),5,245  (333),V,57200,,,,,28150,25300,21950,,,
S4 tiptronic (B9),4,260  (354),V,60600,41800,37300,32650,,,,,,,
S4 Avant tiptronic (B9),5,260  (354),V,62450,43150,38150,34100,,,,,,,
A5 Cabriolet 1.8 TFSI  (8F),2,125  (170),V,39250,,,,,,15900,14450,,,
A5 Cabriolet 1.8 TFSI  (8F),2,130  (177),V,40750,,,21250,19200,,,,,,
A5 Cabriolet 2.0 TFSI  (8F),2,155  (211),V,44250,,,,,,16500,15000,,,
A5 Cabriolet 2.0 TFSI quattro S tronic (8F),2,155  (211),V,48800,,,,,,18150,16500,,,
A5 Cabriolet 2.0 TFSI  (8F),2,165  (225),V,45500,,,,21000,18750,17150,,,,
A5 Cabriolet 2.0 TFSI quattro S tronic (8F),2,165  (225),V,50050,,,,22950,20550,18850,,,,
A5 Cabriolet 2.0 TFSI  (8F),2,169  (230),V,45900,,,23900,21350,,,,,,
A5 Cabriolet 2.0 TFSI quattro S tronic (8F),2,169  (230),V,50450,,,26100,23300,,,,,,
A5 Cabriolet 3.0 TFSI quattro S tronic (8F),2,200  (272),V,53900,,,,,22550,20050,18150,,,
A5 Cabriolet 2.0 TDI  (8F),2,105  (143),VI,41050,,,,,,14450,13250,,,
A5 Cabriolet 2.0 TDI  (8F),2,110  (150),VI,42050,,,,18050,15950,14650,,,,
A5 Cabriolet 2.0 TDI  (8F),2,130  (177),VI,43750,,,,18650,16450,14750,13400,,,
A5 Cabriolet 2.0 TDI quattro (8F),2,130  (177),VI,46100,,,,19800,17500,15700,14250,,,
A5 Cabriolet 2.0 TDI  (8F),2,140  (190),VI,44750,,,20750,19100,16800,,,,,
A5 Cabriolet 2.0 TDI quattro (8F),2,140  (190),VI,47100,,,22050,20300,17850,,,,,
A5 Cabriolet 3.0 TDI multitronic (8F),2,150  (204),VI,49550,,,,20500,18700,16550,15350,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 10 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A5 Cabriolet 3.0 TDI quattro S tronic (8F),2,160  (218),VI,52300,,,24350,22200,,,,,,
A5 Cabriolet 3.0 TDI quattro S tronic (8F),2,180  (245),VI,55950,,,,22850,20550,18350,16850,,,
A5 Sportback 1.8 TFSI  (8T),5,106  (144),V,33150,,,17800,16250,14900,,,,,
A5 Sportback 1.8 TFSI  (8T),5,125  (170),V,33850,,,,,,14400,12650,,,
A5 Sportback 1.8 TFSI  (8T),5,130  (177),V,35250,,,18850,17300,,,,,,
A5 Sportback 2.0 TFSI  (8T),5,155  (211),V,38850,,,,,,15950,14400,,,
A5 Sportback 2.0 TFSI quattro (8T),5,155  (211),V,41200,,,,,,16800,15150,,,
A5 Sportback 2.0 TFSI  (8T),5,165  (225),V,40000,,,,19700,18150,16400,,,,
A5 Sportback 2.0 TFSI quattro (8T),5,165  (225),V,42350,,,,20850,19200,17300,,,,
A5 Sportback 2.0 TFSI  (8T),5,169  (230),V,40400,,,21950,20350,,,,,,
A5 Sportback 2.0 TFSI quattro (8T),5,169  (230),V,42750,,,23200,21500,,,,,,
A5 Sportback 3.0 TFSI quattro S tronic (8T),5,200  (272),V,48500,,,,,21450,19200,17150,,,
A5 Sportback 2.0 TDI  (8T),5,100  (136),VI,34150,,,,15850,14450,13050,,,,
A5 Sportback 2.0 TDI ultra  (8T),5,100  (136),VI,35350,,,17200,15850,14450,,,,,
A5 Sportback 2.0 TDI  (8T),5,105  (143),VI,35650,,,,,,13250,12250,,,
A5 Sportback 2.0 TDI  (8T),5,110  (150),VI,36550,,,,16300,14800,13400,,,,
A5 Sportback 2.0 TDI ultra  (8T),5,120  (163),VI,39050,,,19150,17650,16400,,,,,
A5 Sportback 2.0 TDI  (8T),5,130  (177),VI,38250,,,,17600,15700,14500,12700,,,
A5 Sportback 2.0 TDI quattro (8T),5,130  (177),VI,40600,,,,18650,16650,15350,13450,,,
A5 Sportback 2.0 TDI  (8T),5,140  (190),VI,38850,,,,18050,16500,,,,,
A5 Sportback 2.0 TDI quattro (8T),5,140  (190),VI,41200,,,,19150,17450,,,,,
A5 Sportback 3.0 TDI  (8T),5,150  (204),VI,41850,,,,19350,17700,15650,13700,,,
A5 Sportback 3.0 TDI quattro S tronic (8T),5,160  (218),VI,46800,,,23150,21100,,,,,,
A5 Sportback 3.0 TDI quattro (8T),5,180  (245),VI,48250,,,,20150,18350,16250,14700,,,
A5 Coupé 1.8 TFSI  (8T),2,125  (170),V,34650,,,,,,13950,12950,,,
A5 Coupé 1.8 TFSI  (8T),2,130  (177),V,36050,,,19800,17500,,,,,,
A5 Coupé 2.0 TFSI  (8T),2,155  (211),V,39650,,,,,,15250,13950,,,
A5 Coupé 2.0 TFSI quattro (8T),2,155  (211),V,42000,,,,,,16150,14800,,,
A5 Coupé 2.0 TFSI  (8T),2,165  (225),V,40800,,,,19400,17250,15750,,,,
A5 Coupé 2.0 TFSI quattro (8T),2,165  (225),V,43150,,,,20500,18250,16700,,,,
A5 Coupé 2.0 TFSI  (8T),2,169  (230),V,41200,,,21500,19600,,,,,,
A5 Coupé 2.0 TFSI quattro (8T),2,169  (230),V,43550,,,22750,20700,,,,,,
A5 Coupé 3.0 TFSI quattro S tronic (8T),2,200  (272),V,49300,,,,,21100,19050,17200,,,
A5 Coupé 2.0 TDI ultra  (8T),2,120  (163),VI,39850,,,20050,17900,15900,,,,,
A5 Coupé 2.0 TDI  (8T),2,130  (177),VI,39050,,,,17350,15050,13650,12350,,,
A5 Coupé 2.0 TDI quattro (8T),2,130  (177),VI,41400,,,,18250,15850,14300,13000,,,
A5 Coupé 2.0 TDI  (8T),2,140  (190),VI,39650,,,,17850,16100,,,,,
A5 Coupé 2.0 TDI quattro (8T),2,140  (190),VI,42000,,,,18800,16950,,,,,
A5 Coupé 3.0 TDI  (8T),2,150  (204),VI,42650,,,,19450,17200,15400,13650,,,
A5 Coupé 3.0 TDI quattro S tronic (8T),2,160  (218),VI,47600,,,23300,21250,,,,,,
A5 Coupé 3.0 TDI quattro (8T),2,180  (245),VI,49050,,,,20500,18300,16650,15100,,,
A5 Sportback 35 TFSI S tronic (F5),5,110  (150),V,39000,24950,,,,,,,,,
A5 Sportback 2.0 TFSI  (F5),5,140  (190),VI,43950,27700,23750,21750,,,,,,,
A5 Sportback 40 TFSI  (F5),5,140  (190),V,41700,25200,,,,,,,,,
A5 Sportback 2.0 TFSI quattro (F5),5,185  (252),V,46600,30750,28650,27300,,,,,,,
A5 Sportback 2.0 TFSI S tronic (F5),5,185  (252),V,46550,30750,28650,25950,,,,,,,
A5 Sportback 2.0 TDI  (F5),5,110  (150),VI,41400,26550,22300,,,,,,,,
A5 Sportback 2.0 TDI quattro (F5),5,110  (150),VI,41450,26550,23650,,,,,,,,
A5 Sportback 35 TDI S tronic (F5),5,110  (150),VI,41400,26550,,,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 11 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A5 Sportback 2.0 TDI quattro (F5),5,140  (190),VI,46300,29200,25100,24250,,,,,,,
A5 Sportback 2.0 TDI ultra  (F5),5,140  (190),VI,44150,27850,23950,22150,,,,,,,
A5 Sportback 40 TDI quattro S tronic (F5),5,140  (190),VI,47100,29350,,,,,,,,,
A5 Sportback 40 TDI S tronic (F5),5,140  (190),VI,44750,27850,,,,,,,,,
A5 Sportback 3.0 TDI quattro S tronic (F5),5,160  (218),VI,49900,34050,29300,26150,,,,,,,
A5 Sportback 3.0 TDI S tronic (F5),5,160  (218),VI,47550,32450,27900,,,,,,,,
A5 Sportback 3.0 TDI quattro tiptronic (F5),5,200  (272),VI,54000,,30750,,,,,,,,
A5 Sportback 3.0 TDI quattro tiptronic (F5),5,210  (286),VI,54550,36750,31200,,,,,,,,
A5 Sportback g-tron  (F5),5,125  (170),V,40800,27150,25100,,,,,,,,
A5 Coupé 35 TFSI S tronic (F5),2,110  (150),V,39000,23850,,,,,,,,,
A5 Coupé 2.0 TFSI  (F5),2,140  (190),VI,43950,25600,23750,21650,,,,,,,
A5 Coupé 40 TFSI  (F5),2,140  (190),V,41700,24200,,,,,,,,,
A5 Coupé 2.0 TFSI quattro (F5),2,185  (252),V,46600,29450,27300,25200,,,,,,,
A5 Coupé 2.0 TFSI S tronic (F5),2,185  (252),V,46550,29450,27250,25200,,,,,,,
A5 Coupé 2.0 TDI  (F5),2,110  (150),VI,41400,25650,21950,,,,,,,,
A5 Coupé 35 TDI S tronic (F5),2,110  (150),VI,41400,25650,,,,,,,,,
A5 Coupé 2.0 TDI quattro (F5),2,140  (190),VI,46300,27000,25100,22900,,,,,,,
A5 Coupé 2.0 TDI ultra  (F5),2,140  (190),VI,44150,25750,24000,21900,,,,,,,
A5 Coupé 40 TDI quattro S tronic (F5),2,140  (190),VI,47100,27150,,,,,,,,,
A5 Coupé 40 TDI S tronic (F5),2,140  (190),VI,44750,25750,,,,,,,,,
A5 Coupé 3.0 TDI quattro S tronic (F5),2,160  (218),VI,49900,30800,28100,24850,,,,,,,
A5 Coupé 3.0 TDI S tronic (F5),2,160  (218),VI,47550,29350,26750,23650,,,,,,,
A5 Coupé 3.0 TDI quattro tiptronic (F5),2,200  (272),VI,54000,,30700,,,,,,,,
A5 Coupé 3.0 TDI quattro tiptronic (F5),2,210  (286),VI,54550,35650,31150,,,,,,,,
A5 Cabriolet 2.0 TFSI  (F5),2,140  (190),VI,50150,31300,28650,26100,,,,,,,
A5 Cabriolet 40 TFSI  (F5),2,140  (190),V,47900,28550,,,,,,,,,
A5 Cabriolet 2.0 TFSI quattro S tronic (F5),2,185  (252),V,55100,35050,32400,29350,,,,,,,
A5 Cabriolet 2.0 TDI  (F5),2,110  (150),VI,47600,28650,26100,,,,,,,,
A5 Cabriolet 35 TDI S tronic (F5),2,110  (150),VI,47600,28800,,,,,,,,,
A5 Cabriolet 2.0 TDI quattro S tronic (F5),2,140  (190),VI,52500,32800,30000,,,,,,,,
A5 Cabriolet 40 TDI quattro S tronic (F5),2,140  (190),VI,53300,32950,,,,,,,,,
A5 Cabriolet 40 TDI S tronic (F5),2,140  (190),VI,50950,31450,,,,,,,,,
A5 Cabriolet 3.0 TDI quattro S tronic (F5),2,160  (218),VI,56100,35750,31900,28800,,,,,,,
A5 Cabriolet 3.0 TDI S tronic (F5),2,160  (218),VI,53750,34250,30550,,,,,,,,
A5 Cabriolet 3.0 TDI quattro tiptronic (F5),2,210  (286),VI,60750,38150,35100,,,,,,,,
RS5 Cabriolet S tronic (8F),2,331  (450),V,89900,,,,41350,38050,35000,32000,,,
RS5 Coupé S tronic (8T),2,331  (450),V,79900,,,,39600,35350,31550,28250,,,
RS5 Coupé tiptronic (F5),2,331  (450),V,82700,57200,52600,,,,,,,,
S5 Cabriolet S tronic (8F),2,245  (333),V,63600,,,,,26850,24450,21950,,,
S5 Sportback S tronic (8T),5,245  (333),V,58200,,,,,25550,23450,20800,,,
S5 Coupé S tronic (8T),2,245  (333),V,59000,,,,,25900,23050,21100,,,
S5 Sportback tiptronic (F5),5,260  (354),V,63300,42200,38050,35050,,,,,,,
S5 Coupé tiptronic (F5),2,260  (354),V,63300,42200,38650,34350,,,,,,,
S5 Cabriolet tiptronic (F5),2,260  (354),V,68600,44950,41150,37100,,,,,,,
A6 2.0 TFSI  (C7),4,132  (180),VI,37200,,,,,16400,14500,12950,,,
A6 1.8 TFSI  (C7),4,140  (190),VI,39550,,,21300,19300,17450,,,,,
A6 1.8 TFSI ultra S tronic (C7),4,140  (190),VI,42700,26500,24500,22550,20400,18500,,,,,
A6 2.8 FSI  (C7),4,150  (204),VI,41050,,,,,16200,14200,12850,,,
A6 2.8 FSI quattro S tronic  (C7),4,150  (204),VI,46050,,,,,18300,16050,14550,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 12 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A6 2.0 TFSI quattro S tronic (C7),4,185  (252),VI,50200,31200,28050,25650,23100,,,,,,
