Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
A3 Sportback 35 TDI  (8Y),5,110  (150),,V,34850,25700,,,,,,,,
A3 Sportback 40 TDI advanced quattro S tronic (8Y),5,147  (200),,V,41450,31200,,,,,,,,
A3 Sportback 30 g-tron S tronic (8Y),5,96  (130),,III,33450,26300,,,,,,,,
A3 Sportback 40 TFSI e S tronic (8Y),5,150  (204),,III,38440,28400,,,,,,,,
A3 Sportback 45 TFSI e S line S tronic (8Y),5,180  (245),,III,41440,29500,,,,,,,,
A3 Limousine 30 TFSI  (8Y),4,81  (110),,III,29450,22650,,,,,,,,
A3 Limousine 30 TDI  (8Y),4,85  (116),,V,30023,23500,,,,,,,,
A3 Limousine 35 TDI  (8Y),4,110  (150),,V,35650,25750,,,,,,,,
A3 Limousine 40 TDI advanced quattro S tronic (8Y),4,147  (200),,V,42250,30550,,,,,,,,
RS3 Sportback S tronic (8V),5,270  (367),,III,53500,,,,,38000,34150,,,
RS3 Sportback S tronic (8V),5,294  (400),,III,55900,,,47050,44500,,,,,
RS3 Limousine S tronic (8V),4,294  (400),,III,57200,,,47650,45050,,,,,
S3  (8V),3,221,-300,III,40050,,,,,26050,24200,22750,,
S3  (8V),3,228  (310),,III,41450,,,,29750,26500,,,,
S3 Sportback  (8V),5,221,-300,III,40950,,,,,27450,25550,23950,,
S3 Sportback S tronic (8V),5,221,-300,III,44353,40550,38350,35800,,,,,,
S3 Sportback  (8V),5,228  (310),,III,43050,,,32900,31350,27950,,,,
S3 Limousine  (8V),4,221,-300,III,41550,,,,,27300,25400,23800,,
S3 Limousine S tronic (8V),4,221,-300,III,45231,41400,38400,35850,,,,,,
S3 Limousine  (8V),4,228  (310),,III,43950,,,32950,31400,28000,,,,
S3 Cabriolet S tronic (8V),2,221,-300,III,49350,,,,,30800,27050,25350,,
S3 Cabriolet S tronic (8V),2,221,-300,III,50982,46200,41650,36250,,,,,,
